"negative" "positive"
"1153" 0.709 0.291
"1154" 0.727 0.273
"1155" 0.752 0.248
"1156" 0.762 0.238
"1157" 0.776 0.224
"1158" 0.816 0.184
"1159" 0.829 0.171
"1160" 0.836 0.164
"1161" 0.813 0.187
"1162" 0.793 0.207
"1163" 0.796 0.204
"1164" 0.77 0.23
"1165" 0.785 0.215
"1166" 0.814 0.186
"1167" 0.811 0.189
"1168" 0.784 0.216
"1169" 0.766 0.234
"1170" 0.768 0.232
"1171" 0.734 0.266
"1172" 0.725 0.275
"1173" 0.659 0.341
"1174" 0.629 0.371
"1175" 0.63 0.37
"1176" 0.638 0.362
"1177" 0.613 0.387
"1178" 0.625 0.375
"1179" 0.706 0.294
"1180" 0.716 0.284
"1181" 0.675 0.325
"1182" 0.697 0.303
"1183" 0.72 0.28
"1184" 0.72 0.28
"1185" 0.725 0.275
"1186" 0.739 0.261
"1187" 0.713 0.287
"1188" 0.686 0.314
"1189" 0.73 0.27
"1190" 0.738 0.262
"1191" 0.734 0.266
"1192" 0.726 0.274
"1193" 0.701 0.299
"1194" 0.643 0.357
"1195" 0.65 0.35
"1196" 0.669 0.331
"1197" 0.707 0.293
"1198" 0.72 0.28
"1199" 0.738 0.262
"1200" 0.668 0.332
"1201" 0.667 0.333
"1202" 0.642 0.358
"1203" 0.64 0.36
"1204" 0.649 0.351
"1205" 0.638 0.362
"1206" 0.676 0.324
"1207" 0.68 0.32
"1208" 0.697 0.303
"1209" 0.654 0.346
"1210" 0.715 0.285
"1211" 0.68 0.32
"1212" 0.723 0.277
"1213" 0.776 0.224
"1214" 0.797 0.203
"1215" 0.775 0.225
"1216" 0.745 0.255
"1217" 0.729 0.271
"1218" 0.728 0.272
"1219" 0.721 0.279
"1220" 0.715 0.285
"1221" 0.75 0.25
"1222" 0.722 0.278
"1223" 0.772 0.228
"1224" 0.776 0.224
"1225" 0.783 0.217
"1226" 0.786 0.214
"1227" 0.767 0.233
"1228" 0.765 0.235
"1229" 0.783 0.217
"1230" 0.804 0.196
"1231" 0.802 0.198
"1232" 0.864 0.136
"1233" 0.85 0.15
"1234" 0.84 0.16
"1235" 0.824 0.176
"1236" 0.805 0.195
"1237" 0.82 0.18
"1238" 0.834 0.166
"1239" 0.838 0.162
"1240" 0.846 0.154
"1241" 0.841 0.159
"1242" 0.846 0.154
"1243" 0.857 0.143
"1244" 0.869 0.131
"1245" 0.826 0.174
"1246" 0.844 0.156
"1247" 0.833 0.167
"1248" 0.85 0.15
"1249" 0.843 0.157
"1250" 0.862 0.138
"1251" 0.875 0.125
"1252" 0.866 0.134
"1253" 0.889 0.111
"1254" 0.886 0.114
"1255" 0.903 0.097
"1256" 0.911 0.089
"1257" 0.888 0.112
"1258" 0.867 0.133
"1259" 0.868 0.132
"1260" 0.855 0.145
"1261" 0.845 0.155
"1262" 0.811 0.189
"1263" 0.77 0.23
"1264" 0.778 0.222
"1265" 0.776 0.224
"1266" 0.78 0.22
"1267" 0.811 0.189
"1268" 0.774 0.226
"1269" 0.786 0.214
"1270" 0.774 0.226
"1271" 0.798 0.202
"1272" 0.728 0.272
"1273" 0.762 0.238
"1274" 0.764 0.236
"1275" 0.759 0.241
"1276" 0.745 0.255
"1277" 0.749 0.251
"1278" 0.754 0.246
"1279" 0.752 0.248
"1280" 0.76 0.24
"1281" 0.776 0.224
"1282" 0.776 0.224
"1283" 0.799 0.201
"1284" 0.793 0.207
"1285" 0.809 0.191
"1286" 0.812 0.188
"1287" 0.792 0.208
"1288" 0.783 0.217
"1289" 0.77 0.23
"1290" 0.696 0.304
"1291" 0.732 0.268
"1292" 0.732 0.268
"1293" 0.737 0.263
"1294" 0.731 0.269
"1295" 0.742 0.258
"1296" 0.735 0.265
"1297" 0.747 0.253
"1298" 0.738 0.262
"1299" 0.792 0.208
"1300" 0.775 0.225
"1301" 0.799 0.201
"1302" 0.789 0.211
"1303" 0.769 0.231
"1304" 0.756 0.244
"1305" 0.746 0.254
"1306" 0.749 0.251
"1307" 0.751 0.249
"1308" 0.732 0.268
"1309" 0.739 0.261
"1310" 0.732 0.268
"1311" 0.703 0.297
"1312" 0.7 0.3
"1313" 0.712 0.288
"1314" 0.736 0.264
"1315" 0.77 0.23
"1316" 0.81 0.19
"1317" 0.813 0.187
"1318" 0.796 0.204
"1319" 0.806 0.194
"1320" 0.797 0.203
"1321" 0.845 0.155
"1322" 0.823 0.177
"1323" 0.868 0.132
"1324" 0.83 0.17
"1325" 0.824 0.176
"1326" 0.83 0.17
"1327" 0.831 0.169
"1328" 0.816 0.184
"1329" 0.838 0.162
"1330" 0.822 0.178
"1331" 0.858 0.142
"1332" 0.838 0.162
"1333" 0.826 0.174
"1334" 0.815 0.185
"1335" 0.794 0.206
"1336" 0.789 0.211
"1337" 0.739 0.261
"1338" 0.722 0.278
"1339" 0.689 0.311
"1340" 0.613 0.387
"1341" 0.598 0.402
"1342" 0.589 0.411
"1343" 0.64 0.36
"1344" 0.633 0.367
"1345" 0.705 0.295
"1346" 0.7 0.3
"1347" 0.713 0.287
"1348" 0.745 0.255
"1349" 0.744 0.256
"1350" 0.762 0.238
"1351" 0.814 0.186
"1352" 0.821 0.179
"1353" 0.784 0.216
"1354" 0.806 0.194
"1355" 0.763 0.237
"1356" 0.759 0.241
"1357" 0.778 0.222
"1358" 0.74 0.26
"1359" 0.778 0.222
"1360" 0.726 0.274
"1361" 0.745 0.255
"1362" 0.707 0.293
"1363" 0.715 0.285
"1364" 0.728 0.272
"1365" 0.731 0.269
"1366" 0.684 0.316
"1367" 0.689 0.311
"1368" 0.704 0.296
"1369" 0.743 0.257
"1370" 0.743 0.257
"1371" 0.763 0.237
"1372" 0.758 0.242
"1373" 0.772 0.228
"1374" 0.758 0.242
"1375" 0.732 0.268
"1376" 0.745 0.255
"1377" 0.732 0.268
"1378" 0.782 0.218
"1379" 0.8 0.2
"1380" 0.806 0.194
"1381" 0.798 0.202
"1382" 0.842 0.158
"1383" 0.83 0.17
"1384" 0.843 0.157
"1385" 0.837 0.163
"1386" 0.845 0.155
"1387" 0.816 0.184
"1388" 0.799 0.201
"1389" 0.75 0.25
"1390" 0.69 0.31
"1391" 0.692 0.308
"1392" 0.709 0.291
"1393" 0.753 0.247
"1394" 0.765 0.235
"1395" 0.755 0.245
"1396" 0.729 0.271
"1397" 0.728 0.272
"1398" 0.769 0.231
"1399" 0.78 0.22
"1400" 0.752 0.248
"1401" 0.787 0.213
"1402" 0.809 0.191
"1403" 0.827 0.173
"1404" 0.817 0.183
"1405" 0.779 0.221
"1406" 0.784 0.216
"1407" 0.766 0.234
"1408" 0.724 0.276
"1409" 0.704 0.296
"1410" 0.687 0.313
"1411" 0.707 0.293
"1412" 0.701 0.299
"1413" 0.725 0.275
"1414" 0.717 0.283
"1415" 0.754 0.246
"1416" 0.768 0.232
"1417" 0.741 0.259
"1418" 0.796 0.204
"1419" 0.808 0.192
"1420" 0.844 0.156
"1421" 0.861 0.139
"1422" 0.857 0.143
"1423" 0.836 0.164
"1424" 0.828 0.172
"1425" 0.79 0.21
"1426" 0.773 0.227
"1427" 0.752 0.248
"1428" 0.747 0.253
"1429" 0.796 0.204
"1430" 0.806 0.194
"1431" 0.844 0.156
"1432" 0.785 0.215
"1433" 0.766 0.234
"1434" 0.739 0.261
"1435" 0.711 0.289
"1436" 0.643 0.357
"1437" 0.589 0.411
"1438" 0.557 0.443
"1439" 0.572 0.428
"1440" 0.517 0.483
"1441" 0.551 0.449
"1442" 0.523 0.477
"1443" 0.571 0.429
"1444" 0.599 0.401
"1445" 0.62 0.38
"1446" 0.66 0.34
"1447" 0.722 0.278
"1448" 0.725 0.275
"1449" 0.75 0.25
"1450" 0.801 0.199
"1451" 0.831 0.169
"1452" 0.807 0.193
"1453" 0.798 0.202
"1454" 0.799 0.201
"1455" 0.783 0.217
"1456" 0.772 0.228
"1457" 0.787 0.213
"1458" 0.8 0.2
"1459" 0.77 0.23
"1460" 0.738 0.262
"1461" 0.669 0.331
"1462" 0.645 0.355
"1463" 0.882 0.118
"1464" 0.878 0.122
"1465" 0.856 0.144
"1466" 0.823 0.177
"1467" 0.831 0.169
"1468" 0.848 0.152
"1469" 0.812 0.188
"1470" 0.824 0.176
"1471" 0.807 0.193
"1472" 0.823 0.177
"1473" 0.812 0.188
"1474" 0.788 0.212
"1475" 0.78 0.22
"1476" 0.782 0.218
"1477" 0.733 0.267
"1478" 0.676 0.324
"1479" 0.654 0.346
"1480" 0.669 0.331
"1481" 0.626 0.374
"1482" 0.622 0.378
"1483" 0.624 0.376
"1484" 0.567 0.433
"1485" 0.497 0.503
"1486" 0.529 0.471
"1487" 0.54 0.46
"1488" 0.487 0.513
"1489" 0.554 0.446
"1490" 0.602 0.398
"1491" 0.599 0.401
"1492" 0.636 0.364
"1493" 0.681 0.319
"1494" 0.721 0.279
"1495" 0.757 0.243
"1496" 0.813 0.187
"1497" 0.782 0.218
"1498" 0.776 0.224
"1499" 0.74 0.26
"1500" 0.723 0.277
"1501" 0.765 0.235
"1502" 0.805 0.195
"1503" 0.815 0.185
"1504" 0.823 0.177
"1505" 0.838 0.162
"1506" 0.821 0.179
"1507" 0.794 0.206
"1508" 0.807 0.193
"1509" 0.834 0.166
"1510" 0.802 0.198
"1511" 0.786 0.214
"1512" 0.73 0.27
"1513" 0.696 0.304
"1514" 0.688 0.312
"1515" 0.65 0.35
"1516" 0.666 0.334
"1517" 0.726 0.274
"1518" 0.724 0.276
"1519" 0.796 0.204
"1520" 0.817 0.183
"1521" 0.828 0.172
"1522" 0.864 0.136
"1523" 0.852 0.148
"1524" 0.836 0.164
"1525" 0.81 0.19
"1526" 0.837 0.163
"1527" 0.827 0.173
"1528" 0.84 0.16
"1529" 0.798 0.202
"1530" 0.798 0.202
"1531" 0.794 0.206
"1532" 0.751 0.249
"1533" 0.775 0.225
"1534" 0.783 0.217
"1535" 0.763 0.237
"1536" 0.771 0.229
"1537" 0.834 0.166
"1538" 0.866 0.134
"1539" 0.891 0.109
"1540" 0.903 0.097
"1541" 0.933 0.067
"1542" 0.952 0.048
"1543" 0.942 0.058
"1544" 0.944 0.056
"1545" 0.957 0.043
"1546" 0.958 0.042
"1547" 0.968 0.032
"1548" 0.963 0.037
"1549" 0.96 0.04
"1550" 0.962 0.038
"1551" 0.964 0.036
"1552" 0.967 0.033
"1553" 0.955 0.045
"1554" 0.958 0.042
"1555" 0.951 0.049
"1556" 0.949 0.051
"1557" 0.943 0.057
"1558" 0.955 0.045
"1559" 0.939 0.061
"1560" 0.915 0.085
"1561" 0.906 0.094
"1562" 0.874 0.126
"1563" 0.893 0.107
"1564" 0.884 0.116
"1565" 0.857 0.143
"1566" 0.864 0.136
"1567" 0.851 0.149
"1568" 0.876 0.124
"1569" 0.878 0.122
"1570" 0.829 0.171
"1571" 0.827 0.173
"1572" 0.799 0.201
"1573" 0.763 0.237
"1574" 0.696 0.304
"1575" 0.664 0.336
"1576" 0.632 0.368
"1577" 0.617 0.383
"1578" 0.608 0.392
"1579" 0.597 0.403
"1580" 0.612 0.388
"1581" 0.645 0.355
"1582" 0.694 0.306
"1583" 0.684 0.316
"1584" 0.66 0.34
"1585" 0.604 0.396
"1586" 0.582 0.418
"1587" 0.594 0.406
"1588" 0.645 0.355
"1589" 0.597 0.403
"1590" 0.579 0.421
"1591" 0.543 0.457
"1592" 0.552 0.448
"1593" 0.565 0.435
"1594" 0.568 0.432
"1595" 0.606 0.394
"1596" 0.687 0.313
"1597" 0.708 0.292
"1598" 0.735 0.265
"1599" 0.676 0.324
"1600" 0.658 0.342
"1601" 0.655 0.345
"1602" 0.649 0.351
"1603" 0.659 0.341
"1604" 0.654 0.346
"1605" 0.638 0.362
"1606" 0.637 0.363
"1607" 0.631 0.369
"1608" 0.588 0.412
"1609" 0.634 0.366
"1610" 0.674 0.326
"1611" 0.626 0.374
"1612" 0.533 0.467
"1613" 0.548 0.452
"1614" 0.545 0.455
"1615" 0.562 0.438
"1616" 0.598 0.402
"1617" 0.603 0.397
"1618" 0.607 0.393
"1619" 0.652 0.348
"1620" 0.67 0.33
"1621" 0.695 0.305
"1622" 0.707 0.293
"1623" 0.705 0.295
"1624" 0.68 0.32
"1625" 0.725 0.275
"1626" 0.744 0.256
"1627" 0.765 0.235
"1628" 0.752 0.248
"1629" 0.753 0.247
"1630" 0.763 0.237
"1631" 0.774 0.226
"1632" 0.747 0.253
"1633" 0.776 0.224
"1634" 0.785 0.215
"1635" 0.784 0.216
"1636" 0.743 0.257
"1637" 0.782 0.218
"1638" 0.835 0.165
"1639" 0.878 0.122
"1640" 0.899 0.101
"1641" 0.927 0.073
"1642" 0.921 0.079
"1643" 0.896 0.104
"1644" 0.921 0.079
"1645" 0.925 0.075
"1646" 0.924 0.076
"1647" 0.937 0.063
"1648" 0.952 0.048
"1649" 0.949 0.051
"1650" 0.97 0.03
"1651" 0.952 0.048
"1652" 0.966 0.034
"1653" 0.952 0.048
"1654" 0.967 0.033
"1655" 0.966 0.034
"1656" 0.946 0.054
"1657" 0.955 0.045
"1658" 0.948 0.052
"1659" 0.939 0.061
"1660" 0.936 0.064
"1661" 0.917 0.083
"1662" 0.928 0.072
"1663" 0.936 0.064
"1664" 0.934 0.066
"1665" 0.931 0.069
"1666" 0.932 0.068
"1667" 0.938 0.062
"1668" 0.918 0.082
"1669" 0.943 0.057
"1670" 0.93 0.07
"1671" 0.939 0.061
"1672" 0.926 0.074
"1673" 0.939 0.061
"1674" 0.92 0.08
"1675" 0.928 0.072
"1676" 0.929 0.071
"1677" 0.938 0.062
"1678" 0.947 0.053
"1679" 0.95 0.05
"1680" 0.943 0.057
"1681" 0.937 0.063
"1682" 0.945 0.055
"1683" 0.964 0.036
"1684" 0.956 0.044
"1685" 0.957 0.043
"1686" 0.948 0.052
"1687" 0.939 0.061
"1688" 0.935 0.065
"1689" 0.93 0.07
"1690" 0.922 0.078
"1691" 0.908 0.092
"1692" 0.909 0.091
"1693" 0.907 0.093
"1694" 0.9 0.1
"1695" 0.904 0.096
"1696" 0.873 0.127
"1697" 0.848 0.152
"1698" 0.841 0.159
"1699" 0.833 0.167
"1700" 0.774 0.226
"1701" 0.769 0.231
"1702" 0.767 0.233
"1703" 0.786 0.214
"1704" 0.763 0.237
"1705" 0.775 0.225
"1706" 0.776 0.224
"1707" 0.78 0.22
"1708" 0.752 0.248
"1709" 0.762 0.238
"1710" 0.79 0.21
"1711" 0.792 0.208
"1712" 0.735 0.265
"1713" 0.764 0.236
"1714" 0.76 0.24
"1715" 0.757 0.243
"1716" 0.79 0.21
"1717" 0.824 0.176
"1718" 0.846 0.154
"1719" 0.84 0.16
"1720" 0.843 0.157
"1721" 0.847 0.153
"1722" 0.834 0.166
"1723" 0.778 0.222
"1724" 0.761 0.239
"1725" 0.762 0.238
"1726" 0.77 0.23
"1727" 0.852 0.148
"1728" 0.835 0.165
"1729" 0.791 0.209
"1730" 0.71 0.29
"1731" 0.616 0.384
"1732" 0.587 0.413
"1733" 0.53 0.47
"1734" 0.488 0.512
"1735" 0.459 0.541
"1736" 0.435 0.565
"1737" 0.425 0.575
"1738" 0.41 0.59
"1739" 0.463 0.537
"1740" 0.523 0.477
"1741" 0.531 0.469
"1742" 0.588 0.412
"1743" 0.589 0.411
"1744" 0.6 0.4
"1745" 0.659 0.341
"1746" 0.689 0.311
"1747" 0.705 0.295
"1748" 0.721 0.279
"1749" 0.711 0.289
"1750" 0.769 0.231
"1751" 0.724 0.276
"1752" 0.74 0.26
"1753" 0.722 0.278
"1754" 0.759 0.241
"1755" 0.739 0.261
"1756" 0.735 0.265
"1757" 0.738 0.262
"1758" 0.692 0.308
"1759" 0.725 0.275
"1760" 0.72 0.28
"1761" 0.723 0.277
"1762" 0.715 0.285
"1763" 0.721 0.279
"1764" 0.743 0.257
"1765" 0.728 0.272
"1766" 0.73 0.27
"1767" 0.661 0.339
"1768" 0.653 0.347
"1769" 0.702 0.298
"1770" 0.689 0.311
"1771" 0.701 0.299
"1772" 0.7 0.3
"1773" 0.73 0.27
"1774" 0.737 0.263
"1775" 0.739 0.261
"1776" 0.731 0.269
"1777" 0.761 0.239
"1778" 0.814 0.186
"1779" 0.868 0.132
"1780" 0.892 0.108
"1781" 0.887 0.113
"1782" 0.912 0.088
"1783" 0.926 0.074
"1784" 0.931 0.069
"1785" 0.927 0.073
"1786" 0.919 0.081
"1787" 0.943 0.057
"1788" 0.962 0.038
"1789" 0.948 0.052
"1790" 0.931 0.069
"1791" 0.955 0.045
"1792" 0.964 0.036
"1793" 0.952 0.048
"1794" 0.947 0.053
"1795" 0.948 0.052
"1796" 0.937 0.063
"1797" 0.935 0.065
"1798" 0.922 0.078
"1799" 0.92 0.08
"1800" 0.89 0.11
"1801" 0.872 0.128
"1802" 0.876 0.124
"1803" 0.867 0.133
"1804" 0.849 0.151
"1805" 0.833 0.167
"1806" 0.808 0.192
"1807" 0.776 0.224
"1808" 0.735 0.265
"1809" 0.756 0.244
"1810" 0.79 0.21
"1811" 0.726 0.274
"1812" 0.733 0.267
"1813" 0.772 0.228
"1814" 0.762 0.238
"1815" 0.708 0.292
"1816" 0.667 0.333
"1817" 0.698 0.302
"1818" 0.724 0.276
"1819" 0.762 0.238
"1820" 0.788 0.212
"1821" 0.807 0.193
"1822" 0.803 0.197
"1823" 0.802 0.198
"1824" 0.834 0.166
"1825" 0.901 0.099
"1826" 0.895 0.105
"1827" 0.893 0.107
"1828" 0.93 0.07
"1829" 0.922 0.078
"1830" 0.931 0.069
"1831" 0.95 0.05
"1832" 0.94 0.06
"1833" 0.972 0.028
"1834" 0.973 0.027
"1835" 0.972 0.028
"1836" 0.961 0.039
"1837" 0.972 0.028
"1838" 0.964 0.036
"1839" 0.957 0.043
"1840" 0.957 0.043
"1841" 0.941 0.059
"1842" 0.95 0.05
"1843" 0.928 0.072
"1844" 0.919 0.081
"1845" 0.897 0.103
"1846" 0.875 0.125
"1847" 0.829 0.171
"1848" 0.779 0.221
"1849" 0.73 0.27
"1850" 0.67 0.33
"1851" 0.634 0.366
"1852" 0.531 0.469
"1853" 0.52 0.48
"1854" 0.418 0.582
"1855" 0.429 0.571
"1856" 0.467 0.533
"1857" 0.441 0.559
"1858" 0.412 0.588
"1859" 0.405 0.595
"1860" 0.421 0.579
"1861" 0.378 0.622
"1862" 0.347 0.653
"1863" 0.366 0.634
"1864" 0.348 0.652
"1865" 0.385 0.615
"1866" 0.422 0.578
"1867" 0.447 0.553
"1868" 0.499 0.501
"1869" 0.599 0.401
"1870" 0.68 0.32
"1871" 0.706 0.294
"1872" 0.693 0.307
"1873" 0.715 0.285
"1874" 0.716 0.284
"1875" 0.713 0.287
"1876" 0.768 0.232
"1877" 0.802 0.198
"1878" 0.808 0.192
"1879" 0.791 0.209
"1880" 0.773 0.227
"1881" 0.776 0.224
"1882" 0.813 0.187
"1883" 0.816 0.184
"1884" 0.834 0.166
"1885" 0.857 0.143
"1886" 0.854 0.146
"1887" 0.842 0.158
"1888" 0.805 0.195
"1889" 0.77 0.23
"1890" 0.781 0.219
"1891" 0.777 0.223
"1892" 0.749 0.251
"1893" 0.71 0.29
"1894" 0.663 0.337
"1895" 0.686 0.314
"1896" 0.594 0.406
"1897" 0.603 0.397
"1898" 0.58 0.42
"1899" 0.583 0.417
"1900" 0.621 0.379
"1901" 0.619 0.381
"1902" 0.636 0.364
"1903" 0.643 0.357
"1904" 0.598 0.402
"1905" 0.619 0.381
"1906" 0.68 0.32
"1907" 0.681 0.319
"1908" 0.886 0.114
"1909" 0.86 0.14
"1910" 0.854 0.146
"1911" 0.854 0.146
"1912" 0.861 0.139
"1913" 0.857 0.143
"1914" 0.841 0.159
"1915" 0.821 0.179
"1916" 0.838 0.162
"1917" 0.824 0.176
"1918" 0.837 0.163
"1919" 0.826 0.174
"1920" 0.804 0.196
"1921" 0.814 0.186
"1922" 0.787 0.213
"1923" 0.704 0.296
"1924" 0.67 0.33
"1925" 0.71 0.29
"1926" 0.732 0.268
"1927" 0.76 0.24
"1928" 0.764 0.236
"1929" 0.766 0.234
"1930" 0.796 0.204
"1931" 0.779 0.221
"1932" 0.755 0.245
"1933" 0.701 0.299
"1934" 0.663 0.337
"1935" 0.639 0.361
"1936" 0.622 0.378
"1937" 0.63 0.37
"1938" 0.611 0.389
"1939" 0.618 0.382
"1940" 0.645 0.355
"1941" 0.643 0.357
"1942" 0.632 0.368
"1943" 0.636 0.364
"1944" 0.632 0.368
"1945" 0.621 0.379
"1946" 0.719 0.281
"1947" 0.79 0.21
"1948" 0.81 0.19
"1949" 0.828 0.172
"1950" 0.755 0.245
"1951" 0.64 0.36
"1952" 0.466 0.534
"1953" 0.399 0.601
"1954" 0.387 0.613
"1955" 0.386 0.614
"1956" 0.367 0.633
"1957" 0.398 0.602
"1958" 0.436 0.564
"1959" 0.547 0.453
"1960" 0.588 0.412
"1961" 0.642 0.358
"1962" 0.619 0.381
"1963" 0.669 0.331
"1964" 0.691 0.309
"1965" 0.773 0.227
"1966" 0.812 0.188
"1967" 0.891 0.109
"1968" 0.926 0.074
"1969" 0.947 0.053
"1970" 0.962 0.038
"1971" 0.971 0.029
"1972" 0.968 0.032
"1973" 0.981 0.019
"1974" 0.991 0.009
"1975" 0.994 0.006
"1976" 0.991 0.009
"1977" 0.99 0.01
"1978" 0.996 0.004
"1979" 0.992 0.008
"1980" 0.999 0.001
"1981" 0.999 0.001
"1982" 0.997 0.003
"1983" 0.997 0.003
"1984" 0.995 0.005
"1985" 0.994 0.006
"1986" 0.998 0.002
"1987" 0.998 0.002
"1988" 0.994 0.006
"1989" 0.996 0.004
"1990" 0.99 0.01
"1991" 0.977 0.023
"1992" 0.97 0.03
"1993" 0.937 0.063
"1994" 0.904 0.096
"1995" 0.884 0.116
"1996" 0.866 0.134
"1997" 0.841 0.159
"1998" 0.801 0.199
"1999" 0.811 0.189
"2000" 0.76 0.24
"2001" 0.674 0.326
"2002" 0.546 0.454
"2003" 0.505 0.495
"2004" 0.435 0.565
"2005" 0.394 0.606
"2006" 0.4 0.6
"2007" 0.395 0.605
"2008" 0.437 0.563
"2009" 0.385 0.615
"2010" 0.446 0.554
"2011" 0.483 0.517
"2012" 0.516 0.484
"2013" 0.633 0.367
"2014" 0.694 0.306
"2015" 0.709 0.291
"2016" 0.612 0.388
"2017" 0.43 0.57
"2018" 0.396 0.604
"2019" 0.385 0.615
"2020" 0.339 0.661
"2021" 0.327 0.673
"2022" 0.389 0.611
"2023" 0.397 0.603
"2024" 0.436 0.564
"2025" 0.457 0.543
"2026" 0.508 0.492
"2027" 0.499 0.501
"2028" 0.559 0.441
"2029" 0.557 0.443
"2030" 0.559 0.441
"2031" 0.538 0.462
"2032" 0.569 0.431
"2033" 0.638 0.362
"2034" 0.672 0.328
"2035" 0.769 0.231
"2036" 0.719 0.281
"2037" 0.671 0.329
"2038" 0.674 0.326
"2039" 0.671 0.329
"2040" 0.711 0.289
"2041" 0.682 0.318
"2042" 0.662 0.338
"2043" 0.713 0.287
"2044" 0.714 0.286
"2045" 0.714 0.286
"2046" 0.683 0.317
"2047" 0.736 0.264
"2048" 0.716 0.284
"2049" 0.641 0.359
"2050" 0.614 0.386
"2051" 0.508 0.492
"2052" 0.428 0.572
"2053" 0.399 0.601
"2054" 0.349 0.651
"2055" 0.344 0.656
"2056" 0.353 0.647
"2057" 0.377 0.623
"2058" 0.412 0.588
"2059" 0.399 0.601
"2060" 0.492 0.508
"2061" 0.619 0.381
"2062" 0.74 0.26
"2063" 0.759 0.241
"2064" 0.695 0.305
"2065" 0.426 0.574
"2066" 0.364 0.636
"2067" 0.312 0.688
"2068" 0.336 0.664
"2069" 0.312 0.688
"2070" 0.299 0.701
"2071" 0.313 0.687
"2072" 0.321 0.679
"2073" 0.388 0.612
"2074" 0.544 0.456
"2075" 0.627 0.373
"2076" 0.662 0.338
"2077" 0.658 0.342
"2078" 0.67 0.33
"2079" 0.706 0.294
"2080" 0.766 0.234
"2081" 0.781 0.219
"2082" 0.865 0.135
"2083" 0.878 0.122
"2084" 0.899 0.101
"2085" 0.952 0.048
"2086" 0.946 0.054
"2087" 0.961 0.039
"2088" 0.972 0.028
"2089" 0.979 0.021
"2090" 0.977 0.023
"2091" 0.987 0.013
"2092" 0.989 0.011
"2093" 0.99 0.01
"2094" 0.994 0.006
"2095" 0.986 0.014
"2096" 0.99 0.01
"2097" 0.989 0.011
"2098" 0.988 0.012
"2099" 0.99 0.01
"2100" 0.989 0.011
"2101" 0.981 0.019
"2102" 0.971 0.029
"2103" 0.976 0.024
"2104" 0.946 0.054
"2105" 0.948 0.052
"2106" 0.897 0.103
"2107" 0.833 0.167
"2108" 0.831 0.169
"2109" 0.74 0.26
"2110" 0.695 0.305
"2111" 0.655 0.345
"2112" 0.639 0.361
"2113" 0.661 0.339
"2114" 0.655 0.345
"2115" 0.687 0.313
"2116" 0.65 0.35
"2117" 0.549 0.451
"2118" 0.465 0.535
"2119" 0.384 0.616
"2120" 0.347 0.653
"2121" 0.312 0.688
"2122" 0.304 0.696
"2123" 0.271 0.729
"2124" 0.33 0.67
"2125" 0.304 0.696
"2126" 0.366 0.634
"2127" 0.409 0.591
"2128" 0.514 0.486
"2129" 0.588 0.412
"2130" 0.677 0.323
"2131" 0.681 0.319
"2132" 0.645 0.355
"2133" 0.53 0.47
"2134" 0.464 0.536
"2135" 0.437 0.563
"2136" 0.42 0.58
"2137" 0.385 0.615
"2138" 0.411 0.589
"2139" 0.473 0.527
"2140" 0.555 0.445
"2141" 0.598 0.402
"2142" 0.649 0.351
"2143" 0.619 0.381
"2144" 0.562 0.438
"2145" 0.541 0.459
"2146" 0.527 0.473
"2147" 0.523 0.477
"2148" 0.53 0.47
"2149" 0.603 0.397
"2150" 0.607 0.393
"2151" 0.649 0.351
"2152" 0.714 0.286
"2153" 0.799 0.201
"2154" 0.833 0.167
"2155" 0.922 0.078
"2156" 0.962 0.038
"2157" 0.957 0.043
"2158" 0.969 0.031
"2159" 0.981 0.019
"2160" 0.981 0.019
"2161" 0.981 0.019
"2162" 0.986 0.014
"2163" 0.994 0.006
"2164" 0.992 0.008
"2165" 0.995 0.005
"2166" 1 0
"2167" 0.999 0.001
"2168" 0.999 0.001
"2169" 0.998 0.002
"2170" 0.998 0.002
"2171" 0.999 0.001
"2172" 0.997 0.003
"2173" 0.996 0.004
"2174" 0.994 0.006
"2175" 0.995 0.005
"2176" 0.997 0.003
"2177" 0.99 0.01
"2178" 0.99 0.01
"2179" 0.977 0.023
"2180" 0.938 0.062
"2181" 0.939 0.061
"2182" 0.93 0.07
"2183" 0.905 0.095
"2184" 0.84 0.16
"2185" 0.728 0.272
"2186" 0.681 0.319
"2187" 0.555 0.445
"2188" 0.541 0.459
"2189" 0.516 0.484
"2190" 0.53 0.47
"2191" 0.614 0.386
"2192" 0.64 0.36
"2193" 0.6 0.4
"2194" 0.53 0.47
"2195" 0.373 0.627
"2196" 0.366 0.634
"2197" 0.325 0.675
"2198" 0.346 0.654
"2199" 0.442 0.558
"2200" 0.452 0.548
"2201" 0.483 0.517
"2202" 0.571 0.429
"2203" 0.634 0.366
"2204" 0.755 0.245
"2205" 0.736 0.264
"2206" 0.637 0.363
"2207" 0.386 0.614
"2208" 0.286 0.714
"2209" 0.262 0.738
"2210" 0.294 0.706
"2211" 0.284 0.716
"2212" 0.341 0.659
"2213" 0.342 0.658
"2214" 0.42 0.58
"2215" 0.542 0.458
"2216" 0.603 0.397
"2217" 0.702 0.298
"2218" 0.723 0.277
"2219" 0.731 0.269
"2220" 0.786 0.214
"2221" 0.771 0.229
"2222" 0.775 0.225
"2223" 0.779 0.221
"2224" 0.733 0.267
"2225" 0.723 0.277
"2226" 0.759 0.241
"2227" 0.789 0.211
"2228" 0.821 0.179
